id,name,commonname,lf,match_strategy,pollination_syndrome,pollination_system,flower_colour,flowering_time,flower_diameter,fruit_type,fruit_colour,fruit_fleshiness,fruiting_time,dispersal_syndrome,dispersers,plant_growth_form,plant_height,woodiness,leaf_phenology
96,Brachyloma  daphnoides,Daphne Heath,MS,species_level_fallback,"bird insect, insect",,green red_brown yellow_orange,"nnnnnnnnyyyy, nnnnnnnyyyyy, nnnnnyyyyyyn",,drupe,brown green yellow,fleshy,,"endozoochory, myrmecochory, myrmecochory zoochory, undefined, zoochory","ants vertebrates, birds, vertebrates","shrub, tree",0.9650000000000001,woody,
97,Brachyloma daphnoides,Daphne  Heath,MS,exact_taxon,"bird insect, insect",,green red_brown yellow_orange,"nnnnnnnnyyyy, nnnnnnnyyyyy, nnnnnyyyyyyn",,drupe,brown green yellow,fleshy,,"endozoochory, myrmecochory, myrmecochory zoochory, undefined, zoochory","ants vertebrates, birds, vertebrates","shrub, tree",0.9650000000000001,woody,
98,Brachyloma ericoides ssp. ericoides,Brush Heath,SS,species_level_fallback,bird insect,,,,,drupe,,fleshy,,endozoochory,vertebrates,shrub,0.6,woody,
99,Brachyscome lineariloba,Hard-head Daisy,MH,exact_taxon,insect,,blue_purple white_cream,"nnnnnyyyyynn, nnnnyyyyyynn",,achene,brown,dry,,"anemochory, zoochory","invertebrates, wind",herb,0.15,,
100,Brachyscome multifida,Cut-leaf  Daisy,MH,exact_taxon,insect,biotic_unspecialised,pink white_cream,nnyyyynnnnnn,,achene,black brown,dry,,"anemochory, zoochory","invertebrates, wind","herb, herb subshrub",0.4,,
101,Brunonia australis,Blue Pincushion,MH,exact_taxon,insect,biotic_unspecialised,"blue_purple, blue_purple green yellow_orange","nnnnnnnnyyyn, nnnnyyyyynnn, ynnnnnnnnyyy, yynnnnnnyyyy",,nut,,dry,ynnnnnnnnyyy,"anemochory, epizoochory, undefined","mammals, wind","herb, herb shrub",0.235,herbaceous,evergreen
102,Burchardia umbellata,Milkmaids,MH,exact_taxon,insect,biotic_unspecialised,blue_purple pink white_cream,"nnnnnnnnnynn, nnnnnnnnyyyn, nnnnnnnyyynn, nnnnnnyyyynn",,capsule,,dry,,"barochory, undefined",passive,"geophyte, graminoid, herb",0.47,herbaceous,evergreen
103,Bursaria spinosa,Sweet  Bursaria,MS,exact_taxon,insect,,white_cream,"nnnnnnnnnnyy, yynnnnnnnnny, yyyynnnnnnnn, yyyynnnnnnyy",,capsule,brown,dry,"nnnnnyyynnnn, yyyyyyyynnnn","anemochory, hydrochory","birds, water, wind","shrub, shrub tree, tree",9.0,woody,evergreen
104,Bursaria spinosa ssp. spinosa,Sweet  Bursaria,MS,via_original_name,,,,,,,,,,barochory,,,6.88,,
105,Caesia calliantha,Blue Grass-lily,MTG,exact_taxon,insect,biotic_unspecialised,blue_purple,"ynnnnnnnyyyy, yynnnnnnyyyy",,capsule,,dry,,"barochory, barochory myrmecochory, myrmecochory, undefined, zoochory","ants, ants passive, invertebrates","herb, tussock",0.36905,herbaceous,evergreen
106,Callitris rhomboidea,Oyster Bay Pine,MS,exact_taxon,abiotic,,,,,strobilus,brown,,,anemochory,wind,"shrub tree, tree",11.0,woody,evergreen
107,Callitris verrucosa,Scrub Cypress-pine,MS,exact_taxon,abiotic,,green yellow_orange,,,strobilus,,,,anemochory,wind,"mallee tree, shrub, shrub tree, tree",5.5,woody,evergreen
108,Calocephalus citreus,Lemon Beauty-heads,MH,exact_taxon,insect,biotic_unspecialised,yellow_orange,"yynnnnnnnyyy, yyyyynnnnnyy",,achene,brown,dry,,"anemochory, epizoochory","birds, wind",herb,0.375,herbaceous,
109,Calocephalus lacteus,Milky Beauty-heads,LH,exact_taxon,insect,biotic_unspecialised,,yynnnnnnyyyy,,achene,brown,dry,,"anemochory, epizoochory","birds, wind",herb,0.7,herbaceous,
110,Calochlaena dubia,Common Ground-fern,GF,exact_taxon,abiotic,abiotic,,,,,,,,anemochory,wind,"fern, herb",1.75,,
